name,latitude,longitude,area
Ahiritola Sarbojanin ,22.594743,88.357202,North
Baghbazar Sarbojonin Durgotsab & Exhibition,22.604554,88.365807,North
College Square Sarbojanin,22.574743,88.363814,North
Kumartuli Park,22.598899,88.361692,North
Santosh Mitra Square,22.565907,88.365607,North
Sovabazar Beniatola,22.595811,88.361416,North
Sreebhumi Sporting Club,22.600333,88.402527,North
Manicktala Chaltabagan Lohapatty,22.585187,88.372326,North
Hatibagan Nabin Pally,22.595381,88.373416,North
Nalin Sarkar Street Sarbojanin Durgotsab,22.594617,88.374418,North
Hatibagan Sarbojonin,22.59444,88.371929,North
Kashi Bose Lane,22.590818,88.369182,North
Simla Bayam Samity,22.585058,88.364495,North
Kumartuli Sarbojanin,22.601004,88.362983,North
Satadal,22.595197,88.367737,North
Goabagan Sarbojanin,22.59121,88.372806,North
Jagat Mukherjee Park,22.599519,88.365962,North
Baghbazar PalliPuja O Pradarshani,22.60275,88.367426,North
Beadon Street Sarbojanin,22.589219,88.367614,North
Haritaki Bagan,22.586336,88.372108,North
Sovabazar Sarbojanin,22.59706,88.361102,North
Shimla Vivekananda Sporting Club,22.586041,88.366892,North
Shyambazar Nabin Sangha,22.598808,88.375243,North
Sikdarbagan,22.596656,88.372237,North
Ahiritola Jubak Brinda,22.594586,88.360442,North
B K Pal Park,22.59578,88.359544,North
Simla Sporting Club,22.58478,88.366647,North
Amra Sabai-Ramdulal Sarkar Street,22.588227,88.366198,North
Dum Dum Park Tarun Sangha,22.610928,88.413835,North
Dum Dum Park Bharat Chakra,22.610872,88.414614,North
Dum Dum Tarun Dal,22.611538,88.418628,North
Dum Dum Park Yubak Brinda,22.605518,88.41782,North
Tala Pratay,22.607801,88.383829,North
Laketown Adhibasi Brinda,22.60448,88.403827,North
Laketown Netaji Sporting Club,22.608293,88.400401,North
Tala Barowari,22.607208,88.375894,North
66 Palli,22.518032,88.342737,South
Badamtala Ashar Sangha,22.517925,88.343711,South
Chetla Agrani Club ,22.516542,88.336924,South
Deshapriya Park,22.518371,88.353475,South
Ekdalia Evergreen Club ,22.521283,88.366566,South
21 Pally Sarbojanin Durgotsab,22.529134,88.368785,South
Hindustan Park,22.517706,88.362232,South
Mudiali Club,22.510166,88.346291,South
Shibmandir Sarbojanin,22.516874,88.345201,South
Durgotsab Singhi Park ,22.520931,88.363148,South
Tridhara Sammilani,22.519515,88.355403,South
Bakul Bagan Sarbojonin,22.526661,88.348247,South
Madox Square,22.525919,88.354844,South
Thanthania dutta bari,22.580608,88.365727,Bonedy_bari
pathuriaghat khelat ghosh bari,22.588876,88.356453,Bonedy_bari
hara kutir ray Banerjee bari ,22.588617,88.357678,Bonedy_bari
darjipara mitra bari,22.591194,88.364794,Bonedy_bari
chorbagan sil thakurbari,22.582965,88.359209,Bonedy_bari
chorbagan chatterjee bari,22.582258,88.363398,Bonedy_bari
chorbagan mitra bari ,22.582445,88.362421,Bonedy_bari
shivkrishna daw bari,22.585814,88.35952,Bonedy_bari
Sobhabazar rajbari,22.596303,88.367488,Bonedy_bari
hatkhola dutta bari,22.592765,88.35486,Bonedy_bari
bagbazar haldar bari,22.603418,88.367103,Bonedy_bari
chatu babu thakur bari ,22.590399,88.364418,Bonedy_bari
shyamaldhan dutta bari,22.587652,88.362089,Bonedy_bari
